gene,disease_mean,control_mean,fold_change,log2fc,t_statistic,p_value,cohens_d,disease_n,control_n,p_adjusted,significant,highly_significant,category
ARSD,5.6127686643466665,5.236915722210527,0.37585294213613984,0.37585294213613984,2.996336192151059,0.003511765376421872,0.7695680602944154,75,19,0.017938529285597346,True,False,Significant
MTHFS,12.618727293866666,12.443640238421052,0.17508705544561387,0.17508705544561387,2.9964150322349328,0.003510939256548859,0.7695883092940365,75,19,0.017938529285597346,True,False,Significant
SFTPA1,2.886433857843333,3.270873643105263,-0.3844397852619301,-0.3844397852619301,-2.9954602996655875,0.003520955449601068,-0.7693430992627273,75,19,0.017975607443465245,True,False,Significant
THBD,10.346639965346666,9.842446276631579,0.5041936887150875,0.5041936887150875,2.995496281277761,0.0035205774843176103,0.7693523406487768,75,19,0.017975607443465245,True,False,Significant
KIAA0355,11.227486538933334,11.452004432631577,-0.22451789369824304,-0.22451789369824304,-2.9952202548184528,0.003523477937269455,-0.7692814470196054,75,19,0.017983553146239,True,False,Significant
SLC2A11,7.074733950200001,7.403589308578948,-0.32885535837894775,-0.32885535837894775,-2.9951047681675544,0.003524692112673357,-0.7692517858493554,75,19,0.017984818800795468,True,False,Significant
LYSMD3,6.3099698400866675,6.7810329487368435,-0.471063108650176,-0.471063108650176,-2.9949982474271013,0.003525812367467577,-0.7692244274508464,75,19,0.01798560466101438,True,False,Significant
WHAMMP3,3.249926328266666,4.156318079842105,-0.9063917515754389,-0.9063917515754389,-2.9946937443029493,0.003529016574768268,-0.7691462199789274,75,19,0.017997017677462066,True,False,Significant
SELL,10.067149388133334,10.459038591578947,-0.3918892034456132,-0.3918892034456132,-2.9943766496718762,0.003532356140997613,-0.7690647785502909,75,19,0.01800911454629679,True,False,Significant
KIF19,5.01234572822,4.28419584268421,0.7281498855357897,0.7281498855357897,2.99319221988887,0.003544856137426333,0.7687605739243042,75,19,0.018067894891033342,True,False,Significant
CDC42BPB,9.681047300546666,9.373800715052631,0.3072465854940347,0.3072465854940347,2.99284625029779,0.0035485150722790776,0.7686717163562432,75,19,0.01808159308935197,True,False,Significant
TSPAN33,9.580057590400001,10.157985344210527,-0.5779277538105259,-0.5779277538105259,-2.992445177137425,0.0035527611465012592,-0.7685687061884031,75,19,0.01809827476217144,True,False,Significant
APEX1,10.989871016600002,11.174904614605264,-0.18503359800526198,-0.18503359800526198,-2.9921953652529423,0.0035554082241961507,-0.7685045454150282,75,19,0.01810680401783506,True,False,Significant
ZNF789,7.169854649786668,7.515151746263158,-0.3452970964764903,-0.3452970964764903,-2.9920349208779204,0.0035571092999265213,-0.76846333746687,75,19,0.018110512174188256,True,False,Significant
SERP2,6.348686987373333,6.830201482842105,-0.48151449546877156,-0.48151449546877156,-2.991687124875889,0.003560799313335156,-0.7683740108100807,75,19,0.018124341924643312,True,False,Significant
ARHGEF18,13.748411810133332,13.943767621578948,-0.19535581144561576,-0.19535581144561576,-2.9915632589824823,0.00356211434850402,-0.7683421975457431,75,19,0.018126078863601375,True,False,Significant
PRKD1,2.1065474760400003,2.6817451230000002,-0.57519764696,-0.57519764696,-2.9913645368372253,0.003564225040928631,-0.7682911584746723,75,19,0.018131862506653603,True,False,Significant
ZNF273,5.409663484845334,5.734331050652631,-0.32466756580729683,-0.32466756580729683,-2.9911897485514802,0.0035660824797737064,-0.7682462664887945,75,19,0.018134518185720986,True,False,Significant
RARA,10.422978647393334,10.155148069789472,0.26783057760386164,0.26783057760386164,2.9911320754751043,0.0035666955559215925,0.7682314539461853,75,19,0.018134518185720986,True,False,Significant
RABIF,8.55072336468889,8.42802299245614,0.12270037223274954,0.12270037223274954,2.9908097425310514,0.003570123813104731,0.7681486671283463,75,19,0.01814699198720138,True,False,Significant
FHL2,10.006378254186668,10.68564190168421,-0.6792636474975424,-0.6792636474975424,-2.9901674139089316,0.0035769645547185642,-0.7679836937875407,75,19,0.01817679995127801,True,False,Significant
TRIM68,8.808898593973332,9.002063283105263,-0.1931646891319314,-0.1931646891319314,-2.989627867961652,0.0035827200322659835,-0.7678451187741041,75,19,0.018201078242521564,True,False,Significant
ICK,6.559869714193334,6.900974669210526,-0.34110495501719207,-0.34110495501719207,-2.9892014251953896,0.0035872750646106194,-0.7677355927692056,75,19,0.018214276610109676,True,False,Significant
GTPBP6,11.46130264706,11.190205700578947,0.27109694648105354,0.27109694648105354,2.989249584576156,0.003586760383972033,0.7677479618489299,75,19,0.018214276610109676,True,False,Significant
XK,9.856387652173334,10.683766378473685,-0.8273787263003509,-0.8273787263003509,-2.9888468888721964,0.003591066105968172,-0.7676445349529103,75,19,0.01822855317602715,True,False,Significant
ATP9A,6.5791345060933315,7.013450990315791,-0.4343164842224594,-0.4343164842224594,-2.9886522402876876,0.003593149049254869,-0.7675945421203265,75,19,0.018234153872091093,True,False,Significant
AMMECR1,5.510671957033333,5.738771108263157,-0.2280991512298245,-0.2280991512298245,-2.9880821656550856,0.0035992558706873365,-0.7674481262306864,75,19,0.018260165924495527,True,False,Significant
MAGED1,10.276315299266667,10.5200055445,-0.24369024523333316,-0.24369024523333316,-2.9879394608970524,0.0036007860703131237,-0.7674114744610611,75,19,0.018262951474879698,True,False,Significant
SPIRE1,3.8878853794066663,3.5865108898684213,0.3013744895382451,0.3013744895382451,2.9871655266186563,0.003609095319596209,0.7672127000034483,75,19,0.018300109038126896,True,False,Significant
XPO4,7.912385395966667,8.081400221763156,-0.16901482579648874,-0.16901482579648874,-2.986918355769552,0.003611752770545875,-0.7671492175439683,75,19,0.018308562817965206,True,False,Significant
PIK3R3,4.591831090273334,4.1188438794210525,0.47298721085228124,0.47298721085228124,2.9868275303561536,0.003612729731942957,0.767125890276021,75,19,0.018308562817965206,True,False,Significant
GHRL,9.078922304453334,8.751273636210525,0.3276486682428086,0.3276486682428086,2.986526081813104,0.0036159740070092973,0.7670484673315726,75,19,0.01832001637628499,True,False,Significant
BBS9,7.190322029580001,6.9851324568684205,0.20518957271158023,0.20518957271158023,2.985695648501451,0.003624925299170855,0.7668351818683037,75,19,0.018360369937079266,True,False,Significant
PARD3,5.71502303698,6.395920510868422,-0.6808974738884217,-0.6808974738884217,-2.984735492710519,0.0036353004053942288,-0.7665885789565398,75,19,0.01840791124755391,True,False,Significant
